,Robustness,Stability 1,Stability 2,Stability 3,Stability 4
0,1.4222794957289906,63529.345192694214,1604.7525000000016,105.11000000000008,2164.58
1,5.69597455207917,190600.9928226121,3561.0387500000015,187.71449999999993,2290.28
2,15.938755081686223,464141.6351976426,5296.69575,285.6579999999999,2405.16
3,30.474501596359563,687923.4372684637,8191.136249999999,359.16999999999973,2205.4
4,1.918915830676876,74755.08288244925,1942.5742500000022,116.81600000000002,2160.7
5,7.3318774833075215,232250.9989464512,3949.1964999999996,218.70049999999995,2292.9
6,18.39707753318908,514309.44820407615,6112.353500000002,308.99249999999984,2383.3
7,34.31420439439736,677804.4157886804,9620.479,365.5159999999998,2046.02
8,2.852844896536475,103665.44009274164,2114.1672500000022,146.75950000000003,2190.5
9,9.163813316044193,275696.53335962334,4512.695749999999,243.6679999999999,2320.28
10,24.012780325478037,620917.5170514138,7138.561750000001,344.12299999999965,2406.12
11,40.12020935266717,688722.95375444,11438.175000000003,384.62449999999984,1944.8
