,Robustness,Stability 1,Stability 2,Stability 3,Stability 4
0,1.6433402842952147,306660.98165205645,6798.8805,490.43499999999966,2125.54
1,4.3552997364695605,642332.9798585486,15905.229,884.9674999999997,2461.28
2,6.703752301446119,899674.1728176937,13274.997749999997,971.3005,2454.72
3,8.494189868684678,631607.3930090922,23501.01625,941.6679999999993,1633.08
4,1.8135424927551196,328733.55978016363,7227.051499999998,458.4004999999999,2156.32
5,4.340588619087422,683064.4647152141,14118.665499999996,790.1049999999992,2500.94
6,6.708104825249936,867441.0718475654,13574.067000000003,857.3984999999992,2415.58
7,8.701112019139423,590791.2357504625,24971.60025,842.6964999999992,1511.96
8,2.09354266841289,351830.8827253434,9152.304999999993,468.4269999999996,2185.64
9,4.573924765544032,685502.1391406198,13576.08375,714.5839999999994,2478.96
10,6.830750163474596,924642.8480521911,12891.318749999999,809.4579999999993,2487.2
11,9.201478158792638,581528.4453715996,25565.9925,791.0179999999993,1486.74
