,Robustness,Stability 1,Stability 2,Stability 3,Stability 4
0,1.3385310969686646,19658.51846629568,736.94,173.1420000000005,1902.54
1,4.526783800064283,54343.29717998731,1178.045,296.8425000000007,2101.42
2,16.178794762714414,144590.89827314473,1750.39,453.92250000000064,2380.46
3,43.615491128131644,339872.1766734155,2445.595,674.9285000000009,2733.7
4,1.445620818616696,20927.564768000164,756.905,160.71150000000043,1904.4
5,5.853322015470866,59796.31315260716,1271.1,293.2465000000007,2124.4
6,20.707313204361856,159291.71600526624,1921.82,453.3200000000007,2406.26
7,49.46871998522005,377358.03352564183,2666.05,669.4630000000009,2763.6
8,1.587000171834999,20832.54501649898,774.105,160.68900000000042,1897.32
9,7.121567298987904,66111.3534095361,1292.385,293.09500000000065,2141.22
10,23.823612478024284,200022.0716534758,2121.19,481.1270000000007,2468.38
11,54.40705564081273,403260.3099869488,2853.485,688.0700000000011,2775.92
