,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,No. Tardy Jobs P1,No. Tardy Jobs P2,No. Tardy Jobs P3,Mean WIP
0,3224.8537129197503,70.77882208222938,39.35886170851581,836.1174057082998,0.3131634057337935,0.3154376100101003,0.2111284294637903,44.30034355456597
1,3223.287212919748,71.18299233222935,40.65557761131592,802.629321958008,0.314578952098662,0.31442047244955257,0.21175698406177265,44.48770262495716
2,3225.393212919749,71.61984208222938,40.92663328479111,855.6129709530713,0.3264108897111855,0.32133312478559484,0.21451353753014493,44.736040104760335
3,3223.15221291975,71.48076133222938,40.2963303939189,801.9767938120673,0.32671206929581353,0.31931096240476803,0.21200079593386564,44.664771106105306
4,3224.5747129197507,71.5439315822294,41.20358567701826,856.7063796822364,0.3229899271518048,0.31714264577778933,0.21269071141142049,44.70000309210243
5,3223.38321291975,71.13563883222938,39.96051657730344,791.986708974131,0.3174912379113575,0.3113885366245158,0.2083140895807882,44.45296321162693
6,3226.7087129197503,70.97939383222938,39.43443427350374,849.3740038481645,0.3220346442803315,0.31402459069270416,0.20921364867142508,44.385072527677984
7,3223.6862129197516,71.2799845822294,40.22734874125151,797.3657332405018,0.3207676529623167,0.31363233805237184,0.21114154341405306,44.525263398583
8,3224.511212919749,70.81107758222942,39.11373436095445,819.9829826284964,0.31784172726227156,0.3111425787013005,0.2080328417450409,44.298770563008276
9,3221.1542129197505,71.07189433222938,39.565527018226724,799.198976504973,0.320211524358009,0.31419536093381667,0.20945216003928782,44.43902644884001
10,3328.408212919751,64.9576620822294,16.77985536686117,329.7105586938262,0.38064676344011356,0.0016821825803983895,0.0,41.523261258221694
11,3322.09571291975,64.37681358222937,15.99261079366372,319.86018560668265,0.3749228291561715,0.0027957483921190384,0.0,41.19842290271149
12,3346.5737129197514,65.19599658222941,17.0386332838565,328.9625742843754,0.3813208229591819,0.0019235130061264739,0.0,41.68494052991271
13,3312.8337129197516,64.26239833222938,15.98034981837312,316.1563579394424,0.37101554917656465,0.0017344259407217413,0.0,41.091327259884494
14,3328.4667129197505,65.46344483222941,17.343965932743544,340.0809972263247,0.38336525256488024,0.0019088724779304422,0.0,41.774579768193895
