,Makespan,Mean Flow Time,Mean Weighted Tardiness,Max Weighted Tardiness,No. Tardy Jobs P1,No. Tardy Jobs P2,No. Tardy Jobs P3,Mean WIP
0,3408.851605271145,342.6784371884355,899.8065411096452,5680.0840320044845,0.9900059902476063,0.9898724765469155,0.6586881158102389,189.14964219444505
1,3403.1951052711443,344.9297246884354,907.7707097311279,5565.812618027862,0.9911350391161386,0.9910010855960479,0.6595391539900491,189.93299294737935
2,3407.5661052711457,341.6093971884355,894.8459744022455,5644.999843217372,0.9885370400841144,0.9889155267100498,0.657579896712493,188.57190470121003
3,3402.1981052711453,344.2804536884355,903.6012235117195,5539.302096822137,0.9912303530494883,0.9906922436609754,0.6592928935679113,189.6454901573014
4,5931.099605271147,452.4361164384356,394.4248550591772,3224.0405428528634,0.9891841009809678,0.005556280679394471,0.0,291.36656819861423
5,5960.687605271146,444.97765268843534,386.6634851902974,3241.610877224334,0.9885175978060885,0.009209352604739724,0.0,289.5400952061339
6,5910.473605271149,454.0699524384356,396.13944828473143,3225.829430606896,0.9891265932617216,0.006544624636396232,0.0,291.2255794074745
7,5963.097105271145,446.76573168843555,388.4636602315887,3261.3281777202683,0.989106697662763,0.008827067744875175,0.0,290.03016271985086
8,4400.462105271144,305.41765043843515,391.2321317789829,1950.4494409142346,0.9759444773392749,0.9555146426928127,0.6204738328130192,186.0609248876566
9,4390.615605271146,307.9242236884351,395.40238038665234,1960.113545800523,0.9721601307951413,0.9483877126964134,0.6155203888586737,187.40566550055905
10,4409.1546052711465,309.16346243843515,396.451187475994,1968.575680259591,0.9739134539275394,0.9511018404784732,0.6183101869168004,187.94181351335348
11,4351.511105271147,306.0691041884352,393.0129335860185,1926.2051816007327,0.9718998322298941,0.9477202427088801,0.6149648234761906,185.31170267453706
12,3994.518605271143,328.1865909384352,270.05349331328847,1184.313485416045,0.9959896726903685,0.003606038173741628,0.0,185.41857939734007
13,3969.3546052711476,326.66945168843534,268.22609653691137,1161.1921086688103,0.9954297881588202,0.004540717624165137,0.0,184.2320417417464
14,3992.1146052711474,327.36428893843527,269.3432212550847,1179.9271817390284,0.996495057927564,0.003067414430299654,0.0,185.09101933326525
15,3975.356105271146,325.8522936884354,267.4776410224503,1167.9548615775184,0.9955420911553284,0.0051018753337229794,0.0,184.2731402793563
16,3999.557105271148,332.59711343843526,274.55789044456657,1194.6587412386207,0.9969416261803888,0.00212618851375537,0.0,187.61126878920393
17,3997.138105271149,333.04062493843526,274.69604340264937,1195.785432384954,0.9970881847415586,0.0024667718898107576,0.0,187.75404482175173
18,3997.6136052711463,334.5172186884353,276.5475994074175,1202.3711534340014,0.996760168785299,0.0022621043263592387,0.0,188.49667614050904
19,3981.966105271147,332.5837741884354,274.361216035534,1179.365969471071,0.9966842555112615,0.0025993928589064953,0.0,187.19293015914957
20,5497.80510527115,399.43495843843505,336.714731954312,2796.484591637227,0.9987826630360161,0.905058663397035,0.026515597637653078,255.86775804609312
21,5423.791105271146,388.42279968843525,325.7300606673734,2685.156814021297,0.998494180306309,0.9095733721435412,0.02579795653177734,249.11910247932738
22,5565.088605271146,400.98218418843516,338.2131811871917,2872.7868065355283,0.9987837870399962,0.906243818888272,0.025951651376645967,259.53975338175775
23,5465.475105271145,389.6681906884351,326.94217772813187,2739.6741620188577,0.9984999625958841,0.9115092629627681,0.026557690461916795,251.4149734881091
24,3750.517105271148,328.88202268843526,388.12859716232435,950.2148255299326,0.9944213484226258,0.9907462265231293,0.6516422772116663,187.40865886711126
25,3733.1486052711484,326.7254196884354,384.5625701126415,939.234959059877,0.9947925346552833,0.9920387671220225,0.6521484858115676,186.023625849789
26,3758.7746052711464,328.8330309384354,388.09115818857885,953.6236789662559,0.9940811983137321,0.9901683994859493,0.6506230516993874,187.60704739594422
27,3731.4206052711484,326.94987343843536,385.2337110040087,933.9217456706465,0.9944611116888461,0.9916808067479611,0.6521820947394404,186.24963834704195
28,5704.4586052711475,429.30955993843503,357.52938463376034,2981.89797616018,0.9928000783808852,0.13879143247762094,0.0003762378480894359,274.3521900046295
29,5752.614105271146,430.3023924384352,358.49307705944307,3037.6929320303393,0.9937990116832752,0.13477753953352625,0.0002988467621498664,276.79548506659734
30,5838.720605271146,431.4733959384352,359.6957935344014,3117.1597153367334,0.9914480834400012,0.14071808988241613,0.0006703751431832618,279.4252598010127
31,5771.684105271145,429.8022026884353,358.02514952260105,3045.5956064617717,0.9932393746672704,0.13952028682442782,0.0005381465961428003,276.9298398740946
32,5883.573605271147,482.0730294384352,412.71857892963664,3148.665847036354,0.9981722376134943,0.5376389864834692,0.01933482003478226,304.60291736165004
33,5869.472105271147,466.1095794384353,396.63991544793754,3148.792525091767,0.9982271732599124,0.545446907896432,0.020140358566663994,297.1131655942379
34,5952.419105271145,483.88451668843527,414.4294152826432,3214.087535176748,0.998110489212753,0.5306815200041164,0.016341200866205524,306.86203880456605
35,5908.201605271145,465.0979326884353,395.61326779664546,3189.329888764949,0.998511123603704,0.5438220976020502,0.01929672869682427,298.54543057565206
