,Robustness,Stability 1,Stability 2,Stability 3,Stability 4
0,10.317541598494401,262385.6496338967,0.0,0.0,0.0
1,31.539731882593177,773583.0516232864,0.0,0.0,0.0
2,55.15980556218963,1346368.1482810632,0.0,0.0,0.0
3,78.40215261684212,1952017.2447330556,0.0,0.0,0.0
4,13.345804145888337,352629.09451661655,0.0,0.0,0.0
5,37.231511417074415,939034.9788846899,0.0,0.0,0.0
6,69.09158005249321,1711317.1862693443,0.0,0.0,0.0
7,97.30451503827682,2433545.037696954,0.0,0.0,0.0
8,16.711715773633863,441399.9210325298,0.0,0.0,0.0
9,46.14463195415925,1153922.531390954,0.0,0.0,0.0
10,77.05738964278895,1954030.722513055,0.0,0.0,0.0
11,107.00518203808326,2700761.9501096443,0.0,0.0,0.0
